data_time,year,month,day,hour,temperature,dew_point,pressure,wind_direction,wind_speed
2023-01-01 00:00:00.000000,2023,1,1,0,-19.1,-23.7,1028.6,250,3.0
2023-01-01 03:00:00.000000,2023,1,1,3,-14.3,-22.5,1029.3,290,4.0
2023-01-01 06:00:00.000000,2023,1,1,6,-11.6,-21.4,1028.8,280,3.0
2023-01-01 09:00:00.000000,2023,1,1,9,-16.3,-23.2,1030.5,250,2.0
2023-01-01 12:00:00.000000,2023,1,1,12,-17.4,-23.1,1031.6,260,2.0
2023-01-01 15:00:00.000000,2023,1,1,15,-18.5,-24.0,1031.2,260,3.0
2023-01-01 18:00:00.000000,2023,1,1,18,-19.4,-24.8,1031.6,260,4.0
2023-01-01 21:00:00.000000,2023,1,1,21,-20.5,-25.7,1030.8,250,3.0
2023-01-02 00:00:00.000000,2023,1,2,0,-19.9,-25.3,1031.0,250,3.0
2023-01-02 03:00:00.000000,2023,1,2,3,-14.0,-22.4,1029.4,250,4.0
2023-01-02 06:00:00.000000,2023,1,2,6,-11.4,-20.2,1028.1,250,4.0
2023-01-02 09:00:00.000000,2023,1,2,9,-13.8,-19.1,1028.3,250,1.0
2023-01-02 12:00:00.000000,2023,1,2,12,-16.3,-20.3,1029.4,260,2.0
2023-01-02 15:00:00.000000,2023,1,2,15,-17.3,-21.1,1029.1,240,3.0
2023-01-02 18:00:00.000000,2023,1,2,18,-17.4,-20.9,1028.8,250,3.0
2023-01-02 21:00:00.000000,2023,1,2,21,-19.2,-23.0,1027.8,260,4.0
2023-01-03 00:00:00.000000,2023,1,3,0,-19.2,-23.1,1029.0,270,3.0
2023-01-03 03:00:00.000000,2023,1,3,3,-14.3,-21.8,1028.8,280,3.0
2023-01-03 06:00:00.000000,2023,1,3,6,-11.5,-19.4,1028.5,290,3.0
2023-01-03 09:00:00.000000,2023,1,3,9,-14.4,-19.9,1029.2,270,2.0
2023-01-03 12:00:00.000000,2023,1,3,12,-15.8,-20.3,1029.9,270,3.0
2023-01-03 15:00:00.000000,2023,1,3,15,-19.1,-21.8,1030.2,250,2.0
2023-01-03 18:00:00.000000,2023,1,3,18,-17.9,-20.9,1030.0,250,3.0
2023-01-03 21:00:00.000000,2023,1,3,21,-19.4,-22.1,1029.2,240,2.0
2023-01-04 00:00:00.000000,2023,1,4,0,-21.1,-23.2,1030.0,240,2.0
2023-01-04 03:00:00.000000,2023,1,4,3,-12.6,-20.9,1029.4,230,3.0
2023-01-04 06:00:00.000000,2023,1,4,6,-10.1,-19.5,1028.3,230,3.0
2023-01-04 09:00:00.000000,2023,1,4,9,-13.2,-18.9,1028.5,220,1.0
2023-01-04 12:00:00.000000,2023,1,4,12,-13.4,-18.6,1028.6,230,3.0
2023-01-04 15:00:00.000000,2023,1,4,15,-15.3,-19.5,1028.1,240,2.0
2023-01-04 18:00:00.000000,2023,1,4,18,-15.7,-20.4,1027.5,240,2.0
2023-01-04 21:00:00.000000,2023,1,4,21,-20.9,-23.3,1027.0,230,1.0
2023-01-05 00:00:00.000000,2023,1,5,0,-21.3,-23.6,1027.6,140,1.0
2023-01-05 03:00:00.000000,2023,1,5,3,-10.2,-18.9,1026.6,220,3.0
2023-01-05 06:00:00.000000,2023,1,5,6,-8.3,-16.9,1024.8,210,3.0
2023-01-05 09:00:00.000000,2023,1,5,9,-11.6,-16.7,1025.5,250,1.0
2023-01-05 12:00:00.000000,2023,1,5,12,-14.9,-18.5,1025.2,230,1.0
2023-01-05 15:00:00.000000,2023,1,5,15,-19.9,-21.8,1024.6,0,0.0
2023-01-05 18:00:00.000000,2023,1,5,18,-23.2,-25.7,1024.1,0,0.0
2023-01-05 21:00:00.000000,2023,1,5,21,-24.3,-26.8,1023.8,280,1.0
2023-01-06 00:00:00.000000,2023,1,6,0,-20.9,-23.0,1024.0,60,1.0
2023-01-06 03:00:00.000000,2023,1,6,3,-17.6,-19.5,1022.9,360,2.0
2023-01-06 06:00:00.000000,2023,1,6,6,-15.5,-17.6,1021.2,10,1.0
2023-01-06 09:00:00.000000,2023,1,6,9,-19.4,-21.8,1021.5,340,1.0
2023-01-06 12:00:00.000000,2023,1,6,12,-21.0,-23.1,1021.5,340,1.0
2023-01-06 15:00:00.000000,2023,1,6,15,-24.0,-26.6,1020.9,310,1.0
2023-01-06 18:00:00.000000,2023,1,6,18,-24.2,-26.8,1020.4,270,1.0
2023-01-06 21:00:00.000000,2023,1,6,21,-24.1,-26.6,1020.3,260,2.0
2023-01-07 00:00:00.000000,2023,1,7,0,-23.5,-26.0,1021.6,250,2.0
2023-01-07 03:00:00.000000,2023,1,7,3,-17.6,-20.5,1021.8,210,1.0
2023-01-07 06:00:00.000000,2023,1,7,6,-13.3,-20.0,1021.9,260,3.0
2023-01-07 09:00:00.000000,2023,1,7,9,-16.2,-20.9,1022.9,240,2.0
2023-01-07 12:00:00.000000,2023,1,7,12,-21.2,-23.7,1023.7,110,1.0
2023-01-07 15:00:00.000000,2023,1,7,15,-22.5,-24.6,1023.1,60,1.0
2023-01-07 18:00:00.000000,2023,1,7,18,-21.0,-23.1,1022.5,30,1.0
2023-01-07 21:00:00.000000,2023,1,7,21,-19.8,-21.9,1021.5,50,1.0
2023-01-08 00:00:00.000000,2023,1,8,0,-20.1,-22.2,1021.5,30,1.0
2023-01-08 03:00:00.000000,2023,1,8,3,-10.1,-13.8,1019.5,160,2.0
2023-01-08 06:00:00.000000,2023,1,8,6,-7.4,-9.6,1017.4,150,2.0
2023-01-08 09:00:00.000000,2023,1,8,9,-7.2,-9.0,1018.3,230,2.0
2023-01-08 12:00:00.000000,2023,1,8,12,-10.4,-13.0,1021.0,280,3.0
2023-01-08 15:00:00.000000,2023,1,8,15,-14.4,-17.7,1023.3,280,4.0
2023-01-08 18:00:00.000000,2023,1,8,18,-17.8,-21.0,1026.0,290,3.0
2023-01-08 21:00:00.000000,2023,1,8,21,-20.7,-23.1,1028.0,260,3.0
2023-01-09 00:00:00.000000,2023,1,9,0,-20.7,-23.1,1030.6,260,3.0
2023-01-09 03:00:00.000000,2023,1,9,3,-15.3,-20.2,1031.9,260,2.0
2023-01-09 06:00:00.000000,2023,1,9,6,-11.6,-18.4,1031.7,260,2.0
2023-01-09 09:00:00.000000,2023,1,9,9,-14.8,-18.6,1032.4,220,1.0
2023-01-09 12:00:00.000000,2023,1,9,12,-20.2,-22.3,1031.9,150,1.0
2023-01-09 15:00:00.000000,2023,1,9,15,-19.4,-22.0,1030.2,0,0.0
2023-01-09 18:00:00.000000,2023,1,9,18,-20.7,-23.2,1028.2,150,1.0
2023-01-09 21:00:00.000000,2023,1,9,21,-10.4,-17.7,1024.0,190,4.0
2023-01-10 00:00:00.000000,2023,1,10,0,-9.6,-17.2,1021.9,190,6.0
2023-01-10 03:00:00.000000,2023,1,10,3,-5.9,-14.9,1019.9,210,5.0
2023-01-10 06:00:00.000000,2023,1,10,6,-2.4,-11.9,1017.3,200,4.0
2023-01-10 09:00:00.000000,2023,1,10,9,-3.8,-10.6,1017.3,210,2.0
2023-01-10 12:00:00.000000,2023,1,10,12,-4.0,-10.2,1018.1,230,3.0
2023-01-10 15:00:00.000000,2023,1,10,15,-4.7,-10.5,1017.4,240,3.0
