data_time,year,month,day,hour,temperature,dew_point,pressure,wind_direction,wind_speed
2021-01-01 00:00:00.000000,2021,1,1,0,-25.8,-28.8,1027.6,260.0,3.0
2021-01-01 03:00:00.000000,2021,1,1,3,-20.5,-25.0,1028.1,280.0,2.0
2021-01-01 06:00:00.000000,2021,1,1,6,-18.6,-24.4,1028.2,240.0,3.0
2021-01-01 09:00:00.000000,2021,1,1,9,-21.0,-27.7,1029.1,280.0,1.0
2021-01-01 12:00:00.000000,2021,1,1,12,-22.3,-27.1,1029.6,270.0,1.0
2021-01-01 15:00:00.000000,2021,1,1,15,-24.2,-28.3,1030.3,280.0,2.0
2021-01-01 18:00:00.000000,2021,1,1,18,-24.3,-28.2,1030.2,260.0,2.0
2021-01-01 21:00:00.000000,2021,1,1,21,-24.9,-28.5,1029.9,250.0,2.0
2021-01-02 00:00:00.000000,2021,1,2,0,-23.2,-27.6,1029.9,240.0,2.0
2021-01-02 03:00:00.000000,2021,1,2,3,-18.9,-25.5,1029.7,230.0,2.0
2021-01-02 06:00:00.000000,2021,1,2,6,-16.6,-25.3,1028.9,240.0,4.0
2021-01-02 09:00:00.000000,2021,1,2,9,-18.3,-24.3,1029.7,230.0,3.0
2021-01-02 12:00:00.000000,2021,1,2,12,-19.6,-24.5,1030.1,270.0,2.0
2021-01-02 15:00:00.000000,2021,1,2,15,-21.0,-25.0,1029.9,260.0,3.0
2021-01-02 18:00:00.000000,2021,1,2,18,-21.1,-25.9,1029.6,250.0,3.0
2021-01-02 21:00:00.000000,2021,1,2,21,-21.9,-26.9,1029.5,240.0,2.0
2021-01-03 00:00:00.000000,2021,1,3,0,-21.2,-26.2,1029.8,240.0,3.0
2021-01-03 03:00:00.000000,2021,1,3,3,-19.6,-25.2,1029.9,240.0,3.0
2021-01-03 06:00:00.000000,2021,1,3,6,-16.7,-23.4,1029.6,240.0,4.0
2021-01-03 09:00:00.000000,2021,1,3,9,-18.6,-23.4,1030.4,240.0,2.0
2021-01-03 12:00:00.000000,2021,1,3,12,-19.2,-23.8,1030.7,240.0,2.0
2021-01-03 15:00:00.000000,2021,1,3,15,-20.1,-24.0,1030.4,250.0,2.0
2021-01-03 18:00:00.000000,2021,1,3,18,-20.7,-25.1,1030.2,250.0,2.0
2021-01-03 21:00:00.000000,2021,1,3,21,-21.3,-25.5,1030.1,250.0,3.0
2021-01-04 00:00:00.000000,2021,1,4,0,-22.5,-26.2,1030.4,240.0,3.0
2021-01-04 03:00:00.000000,2021,1,4,3,-19.1,-24.7,1030.6,230.0,3.0
2021-01-04 06:00:00.000000,2021,1,4,6,-16.9,-24.2,1030.2,230.0,3.0
2021-01-04 09:00:00.000000,2021,1,4,9,-19.8,-24.7,1031.2,240.0,2.0
2021-01-04 12:00:00.000000,2021,1,4,12,-20.7,-24.4,1031.4,260.0,2.0
2021-01-04 15:00:00.000000,2021,1,4,15,-22.2,-25.3,1031.2,260.0,2.0
2021-01-04 18:00:00.000000,2021,1,4,18,-22.7,-25.6,1031.4,260.0,2.0
2021-01-04 21:00:00.000000,2021,1,4,21,-22.6,-26.4,1031.3,240.0,2.0
2021-01-05 00:00:00.000000,2021,1,5,0,-23.2,-27.1,1032.1,250.0,2.0
2021-01-05 03:00:00.000000,2021,1,5,3,-19.3,-25.5,1032.3,240.0,3.0
2021-01-05 06:00:00.000000,2021,1,5,6,-16.7,-24.0,1031.1,230.0,2.0
2021-01-05 09:00:00.000000,2021,1,5,9,-19.5,-24.9,1031.4,230.0,2.0
2021-01-05 12:00:00.000000,2021,1,5,12,-19.8,-24.5,1030.7,240.0,2.0
